time,technology,spatial,0
1,Solar,UKJ4,0.0
1,Solar,UKK1,0.0
1,Solar,UKK2,0.0
1,Solar,UKK3,0.0
1,Solar,UKK4,0.0
1,Solar,UKL1,0.0
1,Solar,UKL2,0.0
1,Solar,UKM5,0.0
1,Solar,UKM6,0.0
1,Solar,UKM7,0.0
1,Solar,UKM8,0.0
1,Solar,UKM9,0.0
1,Solar,UKN0,0.0
2,Solar,AT11,0.0
2,Solar,AT12,0.0
2,Solar,AT13,0.0
2,Solar,AT21,0.0
2,Solar,AT22,0.0
2,Solar,AT31,0.0
2,Solar,AT32,0.0
2,Solar,AT33,0.0
2,Solar,AT34,0.0
2,Solar,BE10,
2,Solar,BE21,0.0
2,Solar,BE22,0.0
2,Solar,BE23,0.0
2,Solar,BE24,0.0
2,Solar,BE25,0.0
2,Solar,BE31,0.0
2,Solar,BE32,0.0
2,Solar,BE33,0.0
2,Solar,BE34,0.0
2,Solar,BE35,0.0
2,Solar,BG31,0.0
2,Solar,BG32,0.0
2,Solar,BG33,0.0
2,Solar,BG34,0.0
2,Solar,BG41,0.0
2,Solar,BG42,0.0
2,Solar,CH01,0.0
2,Solar,CH02,0.0
2,Solar,CH03,0.0
2,Solar,CH04,0.0
2,Solar,CH05,0.0
2,Solar,CH06,0.0
2,Solar,CH07,0.0
2,Solar,CZ01,0.0
2,Solar,CZ02,0.0
2,Solar,CZ03,0.0
2,Solar,CZ04,0.0
2,Solar,CZ05,0.0
2,Solar,CZ06,0.0
2,Solar,CZ07,0.0
2,Solar,CZ08,0.0
2,Solar,DE11,0.0
2,Solar,DE12,0.0
2,Solar,DE13,0.0
2,Solar,DE14,0.0
2,Solar,DE21,0.0
2,Solar,DE22,0.0
2,Solar,DE23,0.0
2,Solar,DE24,0.0
2,Solar,DE25,0.0
2,Solar,DE26,0.0
2,Solar,DE27,0.0
2,Solar,DE30,0.0
2,Solar,DE40,0.0
2,Solar,DE50,
2,Solar,DE60,0.0
2,Solar,DE71,0.0
2,Solar,DE72,0.0
2,Solar,DE73,0.0
2,Solar,DE80,0.0
2,Solar,DE91,0.0
2,Solar,DE92,0.0
2,Solar,DE93,0.0
2,Solar,DE94,0.0
2,Solar,DEA1,0.0
2,Solar,DEA2,0.0
2,Solar,DEA3,0.0
2,Solar,DEA4,0.0
2,Solar,DEA5,0.0
2,Solar,DEB1,0.0
2,Solar,DEB2,0.0
2,Solar,DEB3,0.0
2,Solar,DEC0,0.0
2,Solar,DED2,0.0
2,Solar,DED4,0.0
2,Solar,DED5,0.0
2,Solar,DEE0,0.0
2,Solar,DEF0,0.0
2,Solar,DEG0,0.0
2,Solar,DK01,0.0
2,Solar,DK02,0.0
2,Solar,DK03,0.0
2,Solar,DK04,0.0
2,Solar,DK05,0.0
2,Solar,EE00,0.0
2,Solar,ES11,0.0
2,Solar,ES12,0.0
2,Solar,ES13,0.0
2,Solar,ES21,0.0
2,Solar,ES22,0.0
2,Solar,ES23,0.0
2,Solar,ES24,0.0
2,Solar,ES30,0.0
2,Solar,ES41,0.0
2,Solar,ES42,0.0
2,Solar,ES43,0.0
2,Solar,ES51,0.0
2,Solar,ES52,0.0
2,Solar,ES53,0.0
2,Solar,ES61,0.0
2,Solar,ES62,0.0
2,Solar,ES63,
2,Solar,FI19,0.0
2,Solar,FI1B,0.0
2,Solar,FI1C,0.0
2,Solar,FI1D,0.0
2,Solar,FI20,0.0
2,Solar,FR10,0.0
2,Solar,FRB0,0.0
2,Solar,FRC1,0.0
2,Solar,FRC2,0.0
2,Solar,FRD1,0.0
2,Solar,FRD2,0.0
2,Solar,FRE1,0.0
2,Solar,FRE2,0.0
2,Solar,FRF1,0.0
2,Solar,FRF2,0.0
2,Solar,FRF3,0.0
2,Solar,FRG0,0.0
2,Solar,FRH0,0.0
2,Solar,FRI1,0.0
2,Solar,FRI2,0.0
2,Solar,FRI3,0.0
2,Solar,FRJ1,0.0
2,Solar,FRJ2,0.0
2,Solar,FRK1,0.0
2,Solar,FRK2,0.0
2,Solar,FRL0,0.0
2,Solar,FRM0,0.0
2,Solar,EL30,0.0
2,Solar,EL41,0.0
2,Solar,EL42,0.0
2,Solar,EL51,0.0
2,Solar,EL52,0.0
2,Solar,EL53,0.0
2,Solar,EL54,0.0
2,Solar,EL61,0.0
2,Solar,EL62,0.0
2,Solar,EL63,0.0
2,Solar,EL64,0.0
2,Solar,EL65,0.0
2,Solar,HR02,0.0
2,Solar,HR03,0.0
2,Solar,HR05,0.0
2,Solar,HR06,0.0
2,Solar,HU11,0.0
2,Solar,HU12,0.0
2,Solar,HU21,0.0
2,Solar,HU22,0.0
2,Solar,HU23,0.0
2,Solar,HU31,0.0
2,Solar,HU32,0.0
2,Solar,HU33,0.0
2,Solar,IE04,0.0
2,Solar,IE05,0.0
2,Solar,IE06,0.0
2,Solar,ITC1,0.0
2,Solar,ITC2,0.0
2,Solar,ITC3,0.0
2,Solar,ITC4,0.0
2,Solar,ITF1,0.0
2,Solar,ITF2,0.0
2,Solar,ITF3,0.0
2,Solar,ITF4,0.0
2,Solar,ITF5,0.0
2,Solar,ITF6,0.0
2,Solar,ITG1,0.0
2,Solar,ITG2,0.0
2,Solar,ITH1,0.0
2,Solar,ITH2,0.0
2,Solar,ITH3,0.0
2,Solar,ITH4,0.0
2,Solar,ITH5,0.0
2,Solar,ITI1,0.0
2,Solar,ITI2,0.0
2,Solar,ITI3,0.0
2,Solar,ITI4,0.0
2,Solar,LT01,0.0
2,Solar,LT02,0.0
2,Solar,LU00,0.0
