time,countries,technology,value
30,AT,HydroRes,1096.0
30,BE,HydroRes,7.0
30,BG,HydroRes,229.0
30,CH,HydroRes,1101.0
30,CZ,HydroRes,169.0
30,DE,HydroRes,125.0
30,ES,HydroRes,5026.0
30,FI,HydroRes,469.0
30,FR,HydroRes,3865.0
30,GR,HydroRes,1608.0
30,HR,HydroRes,3571.0
30,HU,HydroRes,19.0
30,IE,HydroRes,1.0
30,IT,HydroRes,3610.0
30,LT,HydroRes,37.0
30,LV,HydroRes,211.0
30,NO,HydroRes,9411.0
30,PL,HydroRes,141.0
30,PT,HydroRes,2379.0
30,RO,HydroRes,3141.0
30,SE,HydroRes,4686.0
30,SI,HydroRes,436.0
30,SK,HydroRes,96.0
30,UK,HydroRes,267.0
31,AT,HydroRes,1095.0
31,BE,HydroRes,7.0
31,BG,HydroRes,238.0
31,CH,HydroRes,1098.0
31,CZ,HydroRes,169.0
31,DE,HydroRes,125.0
31,ES,HydroRes,4994.0
31,FI,HydroRes,468.0
31,FR,HydroRes,3802.0
31,GR,HydroRes,1617.0
31,HR,HydroRes,3502.0
31,HU,HydroRes,18.0
31,IE,HydroRes,1.0
31,IT,HydroRes,3558.0
31,LT,HydroRes,37.0
31,LV,HydroRes,210.0
31,NO,HydroRes,9411.0
31,PL,HydroRes,140.0
31,PT,HydroRes,2339.0
31,RO,HydroRes,3086.0
31,SE,HydroRes,4684.0
31,SI,HydroRes,442.0
31,SK,HydroRes,95.0
31,UK,HydroRes,267.0
32,AT,HydroRes,1093.0
32,BE,HydroRes,7.0
32,BG,HydroRes,243.0
32,CH,HydroRes,1095.0
32,CZ,HydroRes,168.0
32,DE,HydroRes,125.0
32,ES,HydroRes,4969.0
32,FI,HydroRes,468.0
32,FR,HydroRes,3743.0
32,GR,HydroRes,1629.0
32,HR,HydroRes,3446.0
32,HU,HydroRes,18.0
32,IE,HydroRes,1.0
32,IT,HydroRes,3504.0
32,LT,HydroRes,37.0
32,LV,HydroRes,209.0
32,NO,HydroRes,9410.0
32,PL,HydroRes,140.0
32,PT,HydroRes,2300.0
32,RO,HydroRes,3032.0
32,SE,HydroRes,4682.0
32,SI,HydroRes,447.0
32,SK,HydroRes,94.0
32,UK,HydroRes,267.0
33,AT,HydroRes,1092.0
33,BE,HydroRes,7.0
33,BG,HydroRes,248.0
33,CH,HydroRes,1091.0
33,CZ,HydroRes,168.0
33,DE,HydroRes,124.0
33,ES,HydroRes,4948.0
33,FI,HydroRes,467.0
33,FR,HydroRes,3687.0
33,GR,HydroRes,1642.0
33,HR,HydroRes,3406.0
33,HU,HydroRes,17.0
33,IE,HydroRes,1.0
33,IT,HydroRes,3455.0
33,LT,HydroRes,36.0
33,LV,HydroRes,209.0
33,NO,HydroRes,9410.0
33,PL,HydroRes,139.0
33,PT,HydroRes,2263.0
33,RO,HydroRes,2978.0
33,SE,HydroRes,4681.0
33,SI,HydroRes,450.0
33,SK,HydroRes,93.0
33,UK,HydroRes,267.0
34,AT,HydroRes,1091.0
34,BE,HydroRes,7.0
34,BG,HydroRes,253.0
34,CH,HydroRes,1089.0
34,CZ,HydroRes,167.0
34,DE,HydroRes,124.0
34,ES,HydroRes,4932.0
34,FI,HydroRes,466.0
34,FR,HydroRes,3636.0
34,GR,HydroRes,1680.0
34,HR,HydroRes,3383.0
34,HU,HydroRes,17.0
34,IE,HydroRes,1.0
34,IT,HydroRes,3411.0
34,LT,HydroRes,36.0
34,LV,HydroRes,208.0
34,NO,HydroRes,9410.0
34,PL,HydroRes,139.0
34,PT,HydroRes,2229.0
34,RO,HydroRes,2926.0
34,SE,HydroRes,4679.0
34,SI,HydroRes,453.0
34,SK,HydroRes,92.0
34,UK,HydroRes,267.0
35,AT,HydroRes,1089.0
35,BE,HydroRes,7.0
35,BG,HydroRes,257.0
35,CH,HydroRes,1086.0
35,CZ,HydroRes,167.0
35,DE,HydroRes,124.0
35,ES,HydroRes,4922.0
35,FI,HydroRes,466.0
35,FR,HydroRes,3587.0
35,GR,HydroRes,1703.0
35,HR,HydroRes,3367.0
35,HU,HydroRes,16.0
35,IE,HydroRes,1.0
35,IT,HydroRes,3370.0
35,LT,HydroRes,36.0
35,LV,HydroRes,208.0
35,NO,HydroRes,9409.0
35,PL,HydroRes,138.0
35,PT,HydroRes,2199.0
35,RO,HydroRes,2875.0
35,SE,HydroRes,4677.0
35,SI,HydroRes,453.0
35,SK,HydroRes,91.0
35,UK,HydroRes,267.0
36,AT,HydroRes,1088.0
36,BE,HydroRes,7.0
36,BG,HydroRes,260.0
36,CH,HydroRes,1084.0
36,CZ,HydroRes,166.0
36,DE,HydroRes,124.0
36,ES,HydroRes,4923.0
36,FI,HydroRes,465.0
36,FR,HydroRes,3542.0
36,GR,HydroRes,1729.0
36,HR,HydroRes,3346.0
36,HU,HydroRes,16.0
36,IE,HydroRes,1.0
36,IT,HydroRes,3340.0
36,LT,HydroRes,36.0
36,LV,HydroRes,207.0
36,NO,HydroRes,9408.0
36,PL,HydroRes,137.0
36,PT,HydroRes,2171.0
36,RO,HydroRes,2824.0
36,SE,HydroRes,4676.0
36,SI,HydroRes,453.0
36,SK,HydroRes,90.0
36,UK,HydroRes,267.0
37,AT,HydroRes,1087.0
37,BE,HydroRes,7.0
37,BG,HydroRes,263.0
37,CH,HydroRes,1081.0
37,CZ,HydroRes,166.0
37,DE,HydroRes,124.0
37,ES,HydroRes,4936.0
37,FI,HydroRes,465.0
37,FR,HydroRes,3498.0
37,GR,HydroRes,1748.0
37,HR,HydroRes,3327.0
37,HU,HydroRes,15.0
37,IE,HydroRes,1.0
